location,price,type,bds,ba,area,zip_code,url,total_found
"9 Georgetta Cir SE, Huntsville, AL 35801",179900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/9-Georgetta-Cir-SE-Huntsville-AL-35801/2087915444_zpid/,119
"2 Georgetta, Huntsville, AL 35801",188900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/2-Georgetta-Huntsville-AL-35801/2094564055_zpid/,119
"36 Darlington Rd, Huntsville, AL 35801",41900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/36-Darlington-Rd-Huntsville-AL-35801/2081238959_zpid/,119
"39 Darlington Rd, Huntsville, AL 35801",40900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/39-Darlington-Rd-Huntsville-AL-35801/2081238963_zpid/,119
"15 Georgetta Dr SE, Huntsville, AL 35801",179900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/15-Georgetta-Dr-SE-Huntsville-AL-35801/2085472680_zpid/,119
"21 Georgetta Dr SE, Huntsville, AL 35801",149900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/21-Georgetta-Dr-SE-Huntsville-AL-35801/2085472673_zpid/,119
"12 Georgetta Cir SE, Huntsville, AL 35801",169900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/12-Georgetta-Cir-SE-Huntsville-AL-35801/2087915324_zpid/,119
"34 Darlington Rd, Huntsville, AL 35801",40900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/34-Darlington-Rd-Huntsville-AL-35801/2081237291_zpid/,119
"2020 Stanford Dr SW, Huntsville, AL 35801",207890,Pre-foreclosure,,1,1060,35801,https://www.zillow.com/homedetails/2020-Stanford-Dr-SW-Huntsville-AL-35801/92182643_zpid/,119
"2209 Matthews St SE, Huntsville, AL 35801",251799,Pre-foreclosure,,,1602,35801,https://www.zillow.com/homedetails/2209-Matthews-St-SE-Huntsville-AL-35801/92145811_zpid/,119
"115 Teakwood Dr SW, Huntsville, AL 35801",294867,Pre-foreclosure,3,3,2147,35801,https://www.zillow.com/homedetails/115-Teakwood-Dr-SW-Huntsville-AL-35801/92117584_zpid/,119
"1010 E Rison Ave NE, Huntsville, AL 35801",138145,Pre-foreclosure,,1,1034,35801,https://www.zillow.com/homedetails/1010-E-Rison-Ave-NE-Huntsville-AL-35801/92127288_zpid/,119
"5509 Panorama Dr SE, Huntsville, AL 35801",230506,Pre-foreclosure,,2,1525,35801,https://www.zillow.com/homedetails/5509-Panorama-Dr-SE-Huntsville-AL-35801/92101322_zpid/,119
"62 Revere Way, Huntsville, AL 35801",323942,Pre-foreclosure,,,2214,35801,https://www.zillow.com/homedetails/62-Revere-Way-Huntsville-AL-35801/92089681_zpid/,119
"(undisclosed Address), Huntsville, AL 35816",31960,Lot / Land for sale,,,,35816,https://www.zillow.com/homedetails/(undisclosed-Address)-Huntsville-AL-35816/2081843375_zpid/,15
"4904 Seven Pine Cir, Huntsville, AL 35816",105000,Condo for sale,2,2,1235,35816,https://www.zillow.com/homedetails/4904-Seven-Pine-Cir-Huntsville-AL-35816/92080634_zpid/,15
"4984 Seven Pine Cir, Huntsville, AL 35816",65000,Condo for sale,1,1,792,35816,https://www.zillow.com/homedetails/4984-Seven-Pine-Cir-Huntsville-AL-35816/92136471_zpid/,15
"1804 Forney Dr NW, Huntsville, AL 35816",135000,House for sale,3,2,1506,35816,https://www.zillow.com/homedetails/1804-Forney-Dr-NW-Huntsville-AL-35816/92079718_zpid/,15
"1614 Hampton Rd NW, Huntsville, AL 35816",--,Auction,,2,1506,35816,https://www.zillow.com/homedetails/1614-Hampton-Rd-NW-Huntsville-AL-35816/92113849_zpid/,15
"0 Beard St NW, Huntsville, AL 35816",6000,Lot / Land for sale,,,,35816,https://www.zillow.com/homedetails/0-Beard-St-NW-Huntsville-AL-35816/2078591488_zpid/,15
"912 Woodall Ln NW, Huntsville, AL 35816",180000,House for sale,3,3,1883,35816,https://www.zillow.com/homedetails/912-Woodall-Ln-NW-Huntsville-AL-35816/92135341_zpid/,15
"4008 Marie Ave NW, Huntsville, AL 35816",45000,Lot / Land for sale,,,,35816,https://www.zillow.com/homedetails/4008-Marie-Ave-NW-Huntsville-AL-35816/109203328_zpid/,15
"1926-1926 Pulaski Pike LOT 6, Huntsville, AL 35816",79900,Lot / Land for sale,,,,35816,https://www.zillow.com/homedetails/1926-1926-Pulaski-Pike-LOT-6-Huntsville-AL-35816/2079605690_zpid/,15
"3311 Mcdow Ave NW, Huntsville, AL 35816",108223,Pre-foreclosure,3,2,1391,35816,https://www.zillow.com/homedetails/3311-Mcdow-Ave-NW-Huntsville-AL-35816/92112930_zpid/,15
"1306 Club View Dr NW, Huntsville, AL 35816",134882,Pre-foreclosure,,,2113,35816,https://www.zillow.com/homedetails/1306-Club-View-Dr-NW-Huntsville-AL-35816/92140367_zpid/,15
"1815 Kendall Ter NW, Huntsville, AL 35816",123877,Pre-foreclosure,,2,1378,35816,https://www.zillow.com/homedetails/1815-Kendall-Ter-NW-Huntsville-AL-35816/92159704_zpid/,15
"1605 Morningside Ct NW, Huntsville, AL 35816",132816,Pre-foreclosure,,3,1566,35816,https://www.zillow.com/homedetails/1605-Morningside-Ct-NW-Huntsville-AL-35816/92131789_zpid/,15
"5052 Seven Pine Cir #U-1, Huntsville, AL 35816",58533,Pre-foreclosure,,2,1186,35816,https://www.zillow.com/homedetails/5052-Seven-Pine-Cir-U-1-Huntsville-AL-35816/92102514_zpid/,15
"1926 Pulaski Pike NW LOT 6, Huntsville, AL 35816",79900,Lot / Land for sale,,,,35816,https://www.zillow.com/homedetails/1926-Pulaski-Pike-NW-LOT-6-Huntsville-AL-35816/2088647994_zpid/,15
"2071 Eastridge Dr, Anchorage, AK 99501",314900,Townhouse for sale,3,3,1567,99501,https://www.zillow.com/homedetails/2071-Eastridge-Dr-Anchorage-AK-99501/2077793468_zpid/,153
"501 E 13th Ave APT 28, Anchorage, AK 99501",105000,Condo for sale,3,1,1066,99501,https://www.zillow.com/homedetails/501-E-13th-Ave-APT-28-Anchorage-AK-99501/79536008_zpid/,153
"1540 Juneau St, Anchorage, AK 99501",99000,For sale by owner,5,3,2162,99501,https://www.zillow.com/homedetails/1540-Juneau-St-Anchorage-AK-99501/4656_zpid/,153
"618 E 9th Ave, Anchorage, AK 99501",440000,Apartment for sale,6,6,3588,99501,https://www.zillow.com/homedetails/618-E-9th-Ave-Anchorage-AK-99501/2140096930_zpid/,153
"209 W 14th Ave, Anchorage, AK 99501",695000,Apartment for sale,8,6,4568,99501,https://www.zillow.com/homedetails/209-W-14th-Ave-Anchorage-AK-99501/2125906252_zpid/,153
"619 E 5th Ave, Anchorage, AK 99501",629000,Lot / Land for sale,,,,99501,https://www.zillow.com/homedetails/619-E-5th-Ave-Anchorage-AK-99501/2077848549_zpid/,153
